Country,LifeExp,FoodSup,Income,Column1
Afghanistan,613,2090,1810,
Albania,779,3190,10500,
Algeria,769,3300,13300,
Angola,619,2470,6730,
Antigua,768,2420,20100,
Argentina,761,3230,19600,
Armenia,752,2930,7720,
Australia,826,3280,43200,
Austria,812,3770,44300,
Azerbaijan,701,3120,16600,
Bahamas,735,2670,29700,
Bangladesh,717,2450,2920,
Barbados,771,2940,16300,
Belarus,726,3250,17600,
Belgium,805,3730,41000,
Belize,741,2750,7760,
Benin,626,2620,1940,
Bolivia,717,2260,6010,
Bosnia,765,3150,10500,
Botswana,645,2330,15700,
Brazil,751,3260,15500,
Brunei,750,2980,79300,
Bulgaria,748,2830,15900,
Burkina Faso,597,2720,1560,
