country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,0.237,0.275,0.293,,,
Albania,,,,,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,,,,,,,
Algeria,0.67,0.7,0.66,0.667,0.68,0.689,0.689,0.689,0.689,0.689,0.689,,,,0.702,,,,0.735,0.74
Angola,,,,,,,,,,0.104,0.104,0.104,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,0.33,,,,,,,
Argentina,0.285,0.285,0.285,0.286,0.287,0.291,0.291,0.295,0.295,0.294,0.294,,,0.3,,,,,,
Armenia,0.992,0.966,0.967,0.967,0.97,0.967,0.967,0.968,0.968,,,,,0.913,0.901,0.9,0.89,0.89,0.905,0.936
Australia,0.35,0.357,0.364,0.371,0.379,0.386,0.387,,0.387,,,,,,0.416,,,0.425,0.427,0.435
Austria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
Azerbaijan,,,,,,,,,,,,,,,0.494,,0.506,,,
Bahamas,0.52,0.53,0.541,0.551,0.563,0.574,0.574,0.574,0.574,0.574,0.574,0.574,,,,,,,,
Bahrain,0.754,0.753,0.788,,,,0.758,0.765,0.769,0.774,0.776,0.753,0.789,0.791,0.797,0.803,0.808,0.81,0.815,0.821
Bangladesh,,0.072,0.066,0.069,0.093,0.079,0.084,0.095,0.0953,0.0953,0.0953,,,0.095,,,,,,
Barbados,0.868,0.885,0.903,0.921,0.939,0.958,0.959,,0.986,0.986,0.986,0.986,0.986,1,1,,,,,
Belarus,,0.958,0.963,0.98,0.984,0.986,0.988,0.982,0.956,,,,,0.864,0.87,0.886,,,,
Belgium,,0.812,0.812,0.812,0.806,0.807,0.807,0.807,0.782,0.782,0.782,0.783,0.782,0.78,0.78,0.782,0.782,0.782,0.782,0.782
Belize,,,,,,,0.19,0.16,0.17,0.17,0.17,0.17,,,,,,,,
Benin,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,0.095,,,,,
Bhutan,0.771,0.791,0.771,0.745,0.652,0.637,0.607,0.607,,,,,,0.62,,,,,,
Bolivia,0.043,0.044,0.042,0.04,0.047,0.055,0.055,0.057,0.06,0.064,0.066,0.067,0.067,0.07,0.0734,0.0691,0.0693,0.0681,0.0788,0.0788
Bosnia and Herzegovina,0.54,0.542,0.53,0.526,0.525,0.523,0.523,0.523,0.523,0.523,,,,,,0.523,,,,
Botswana,0.32,0.34,0.199,0.211,0.222,,,,,,,,0.353,0.351,0.332,0.326,,,,
Brazil,0.097,0.086,0.086,0.123,0.081,0.089,0.093,0.091,0.096,0.056,0.055,,,,,,,,,
Brunei,0.314,0.32,0.326,0.333,0.339,0.346,,0.347,0.347,0.347,0.347,,,,0.791,0.784,0.78,0.801,0.811,
Bulgaria,0.916,0.918,0.918,0.919,0.919,0.92,0.92,0.92,0.921,,,,,,,0.984,,,,
Burkina Faso,0.166,0.171,0.176,0.182,0.187,0.16,0.16,0.16,0.16,0.16,,,,,0.0417,,,,,
Burundi,,,,,,,,,,0.071,0.071,,,,0.104,,,,,
Cambodia,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,,,,,,,0.0629,,,,,
Cameroon,0.105,0.109,0.113,0.117,0.121,0.125,0.125,0.125,0.125,0.125,0.081,,,,0.0837,,0.174,,0.17,
Canada,0.35,0.37,0.352,,,0.353,,,,,,,,,0.399,,,,,
Cape Verde,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.69,0.69,,,,,,,,
Central African Republic,,,,,0.021,0.021,0.021,0.024,0.027,,,,,,,,,,,
Chad,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,,,,,,,,,
Chile,0.138,0.138,0.138,0.138,0.138,0.159,0.167,0.172,0.183,0.189,0.184,0.202,,,0.263,0.21,0.213,0.214,0.218,0.224
China,,,,,,,,,,,,,,,,0.408,0.441,0.496,0.535,
Colombia,0.119,0.119,0.119,0.119,0.119,0.092,0.119,0.12,0.143,0.144,,,,,,,,,,
Comoros,0.693,0.707,0.721,0.735,0.75,0.765,,,0.765,0.765,0.765,0.765,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,0.0182,,,,,
"Congo, Rep.",0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,,,,0.05,,0.0713,,,
Costa Rica,0.153,0.158,0.158,0.163,0.163,0.167,0.17,0.17,0.21,0.22,0.22,0.22,0.22,0.246,0.244,,0.252,0.255,0.253,0.259
Cote d'Ivoire,0.087,0.089,0.091,0.092,0.094,0.096,0.097,0.097,0.097,0.097,0.097,,,,0.0812,,,0.0793,,
Croatia,,,,,,,0.815,0.815,0.844,0.846,0.854,0.849,,,,,,0.891,0.869,0.905
Cuba,0.505,0.515,0.526,0.536,0.547,0.558,0.559,0.49,0.49,0.49,0.49,0.49,,,,,,,,
Cyprus,0.596,0.591,0.584,0.574,0.572,0.57,0.572,0.573,0.592,0.596,0.606,0.612,0.622,0.63,0.63,0.646,0.65,0.64,0.646,0.649
Czech Republic,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,
Denmark,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,,,,,,,,,,,0.45,0.45,,,,,,,,
Dominica,0.456,0.465,0.474,0.484,0.493,0.503,0.504,0.504,0.504,0.504,0.504,0.504,,,,,,,,
Dominican Republic,0.447,0.455,0.465,0.474,0.483,0.493,0.494,,,0.494,0.494,0.494,,,,,,,,
Ecuador,0.134,0.136,0.14,0.142,,0.127,0.133,0.189,0.189,0.189,0.189,0.169,0.169,0.149,0.15,,0.148,0.148,,
Egypt,0.72,0.72,0.73,0.72,0.75,0.78,0.781,0.781,0.781,0.781,0.781,,,,0.81,,,,0.869,0.894
El Salvador,0.144,0.142,0.142,0.199,0.2,0.2,0.199,0.198,0.198,0.198,0.198,0.198,,,,,,,,
Eritrea,0.194,0.198,0.202,0.206,0.21,0.214,0.218,0.218,0.218,0.218,0.218,0.218,,,,,,,,
Estonia,0.518,0.524,0.544,0.545,0.503,0.54,0.532,0.508,0.221,0.213,0.201,0.197,0.248,0.234,0.221,0.227,,0.286,,
Eswatini,,,,,0.282,,,,,,,,0.3,,,,,,,
Ethiopia,0.15,0.15,0.15,0.15,0.15,0.155,0.153,0.153,0.14,0.133,0.12,0.12,0.12,0.129,0.191,0.111,0.116,0.137,,
Fiji,0.445,0.454,0.463,0.472,0.482,0.491,0.492,0.492,0.492,0.492,0.492,0.492,,,,,,,,
Finland,0.61,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.64,0.645,0.62,0.64,0.64,0.646,0.647,0.65,0.653,0.654,0.655,
France,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,0.082,0.082,0.082,0.082,0.082,0.082,0.099,0.099,0.099,0.099,0.099,,,,0.102,,,0.12,,
Gambia,,,,,,,,,,,,,,0.193,0.193,,,,,
Georgia,0.938,0.938,0.938,0.936,0.935,0.935,0.935,0.937,0.934,,,,,,,,0.941,0.941,,
Germany,0.99,0.99,0.99,0.99,0.99,0.99,0.991,,,,,,,1,,,,,,
Ghana,0.196,0.23,0.235,0.239,0.244,0.249,0.241,,,0.296,0.296,0.184,,0.179,,0.149,,,0.161,0.126
Greece,0.917,0.917,0.917,0.917,0.917,0.917,0.918,0.918,0.918,0.918,0.918,,,,,,,,,
Grenada,0.554,0.565,0.577,0.588,0.6,0.612,0.613,0.613,0.613,0.61,0.61,0.61,,,,,,,,
Guatemala,0.249,0.254,0.259,0.264,0.269,0.26,0.258,0.264,0.31,0.345,0.345,0.345,,,,,,,,
Guinea,0.152,0.152,0.155,0.158,0.161,0.164,0.165,0.165,0.165,0.165,0.165,,,0.0979,,,,,,
Guinea-Bissau,0.083,0.087,0.091,0.094,0.098,0.102,0.103,0.103,0.103,,,,0.279,,,,,,,
Guyana,0.066,0.068,0.069,0.07,0.072,0.073,0.074,0.074,0.074,0.074,0.074,0.074,,,,,,,,
Haiti,0.219,0.224,0.228,0.233,0.238,0.242,0.243,0.243,0.243,0.243,0.243,0.243,,,,,,,,
Honduras,0.211,0.215,0.19,0.194,0.198,0.204,0.204,0.204,0.204,0.204,0.204,0.204,,,,,,,,
Hungary,,,0.441,0.441,0.441,0.441,0.431,0.434,0.434,,,0.437,0.439,0.439,,,0.38,0.377,0.376,0.38
Iceland,0.199,0.208,0.221,0.237,0.247,0.248,0.259,0.257,0.271,0.281,0.295,0.306,0.315,,0.344,0.354,0.359,0.366,0.373,0.384
India,,0.473,0.519,0.544,0.549,0.554,0.547,0.565,0.57,0.467,0.475,0.477,0.474,,0.486,0.47,0.477,0.482,0.495,
Indonesia,0.451,0.453,0.536,0.538,0.538,0.524,0.463,0.564,0.473,0.463,0.571,0.589,0.58,0.583,0.553,0.554,0.53,0.609,0.591,0.569
Iran,,,,,0.472,0.499,0.521,0.568,0.563,,,0.648,0.663,0.674,,0.71,0.733,,,
Iraq,0.779,0.794,0.81,0.826,0.843,0.86,0.86,,0.843,0.843,0.843,0.843,,,,,,,,
Ireland,0.94,0.94,0.94,0.94,0.94,0.94,0.941,0.941,1,1,1,1,1,1,,,,1,1,
Israel,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
Italy,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,
Jamaica,0.64,0.652,0.665,0.679,0.692,0.706,0.707,,0.701,0.701,0.701,,,0.733,0.733,0.733,,,,
Japan,0.692,0.701,0.711,0.721,0.73,0.736,0.743,0.749,0.76,0.761,0.766,0.771,0.777,0.782,,0.79,0.793,0.796,0.799,0.801
Jordan,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,1
Kazakhstan,0.551,0.687,0.706,0.704,0.735,0.763,0.805,0.828,0.865,,,,,0.94,0.934,0.912,0.914,0.903,0.899,0.885
Kenya,0.128,0.133,0.138,0.143,0.136,0.138,0.121,0.121,0.121,0.121,0.121,,,,0.141,,,,0.146,0.143
Kuwait,0.729,0.744,0.759,0.774,0.789,0.805,0.806,0.806,0.806,0.806,0.806,,,0.844,0.85,,,,,
Kyrgyz Republic,0.9,0.9,0.91,0.91,0.91,0.91,0.911,0.911,0.911,0.911,0.911,0.911,,,,,,,,
Lao,0.24,0.16,0.16,0.16,0.16,0.138,,,,,,,0.141,0.144,,0.134,0.129,0.131,0.135,0.137
Latvia,,,,,,,,,,,,,1,1,,,,,0.204,0.209
Lebanon,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,0.849,,,,,,,,,,
Lesotho,0.18,0.17,0.16,0.15,0.15,0.179,0.179,0.168,0.173,0.183,0.183,0.183,,,,,,,,
Liberia,0.055,0.056,0.057,0.059,0.06,0.061,0.062,0.062,0.062,0.062,0.062,0.062,,,,,,,,
Libya,0.517,0.527,0.538,0.549,0.56,0.571,,,,0.572,0.572,0.572,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,0.283,0.284,0.286,0.292,0.294
Luxembourg,0.991,0.991,0.991,0.978,0.991,0.99,1,0.99,1,1,1,1,1,1,1,,,,,
Madagascar,0.154,0.154,0.154,0.115,,0.115,0.116,,,0.116,0.116,0.116,,,,,,,,
Malawi,,,,,,,,,,,,,,0.45,,,,,,
Malaysia,0.7,0.713,0.733,0.741,0.74,0.739,0.74,0.745,0.756,0.753,0.762,0.779,,0.808,0.813,,,,,
Maldives,,,,,,,,,,,,,,,,1,,,,
